242.000,23.200,25.400,30.000,38.400,13.400
290.000,24.000,26.300,31.200,40.000,13.800
340.000,23.900,26.500,31.100,39.800,15.100
363.000,26.300,29.000,33.500,38.000,13.300
430.000,26.500,29.000,34.000,36.600,15.100
450.000,26.800,29.700,34.700,39.200,14.200
500.000,26.800,29.700,34.500,41.100,15.300
390.000,27.600,30.000,35.000,36.200,13.400
450.000,27.600,30.000,35.100,39.900,13.800
500.000,28.500,30.700,36.200,39.300,13.700
475.000,28.400,31.000,36.200,39.400,14.100
500.000,28.700,31.000,36.200,39.700,13.300
500.000,29.100,31.500,36.400,37.800,12.000
600.000,29.400,32.000,37.200,40.200,13.900
600.000,29.400,32.000,37.200,41.500,15.000
700.000,30.400,33.000,38.300,38.800,13.800
700.000,30.400,33.000,38.500,38.800,13.500
610.000,30.900,33.500,38.600,40.500,13.300
650.000,31.000,33.500,38.700,37.400,14.800
575.000,31.300,34.000,39.500,38.300,14.100
685.000,31.400,34.000,39.200,40.800,13.700
620.000,31.500,34.500,39.700,39.100,13.300
680.000,31.800,35.000,40.600,38.100,15.100
700.000,31.900,35.000,40.500,40.100,13.800
725.000,31.800,35.000,40.900,40.000,14.800
720.000,32.000,35.000,40.600,40.300,15.000
714.000,32.700,36.000,41.500,39.800,14.100
850.000,32.800,36.000,41.600,40.600,14.900
1000.000,33.500,37.000,42.600,44.500,15.500
920.000,35.000,38.500,44.100,40.900,14.300
955.000,35.000,38.500,44.000,41.100,14.300
925.000,36.200,39.500,45.300,41.400,14.900
975.000,37.400,41.000,45.900,40.600,14.700
950.000,38.000,41.000,46.500,37.900,13.700
40.000,12.900,14.100,16.200,25.600,14.000
69.000,16.500,18.200,20.300,26.100,13.900
78.000,17.500,18.800,21.200,26.300,13.700
87.000,18.200,19.800,22.200,25.300,14.300
120.000,18.600,20.000,22.200,28.000,16.100
0.000,19.000,20.500,22.800,28.400,14.700
110.000,19.100,20.800,23.100,26.700,14.700
120.000,19.400,21.000,23.700,25.800,13.900
150.000,20.400,22.000,24.700,23.500,15.200
145.000,20.500,22.000,24.300,27.300,14.600
160.000,20.500,22.500,25.300,27.800,15.100
140.000,21.000,22.500,25.000,26.200,13.300
160.000,21.100,22.500,25.000,25.600,15.200
169.000,22.000,24.000,27.200,27.700,14.100
161.000,22.000,23.400,26.700,25.900,13.600
200.000,22.100,23.500,26.800,27.600,15.400
180.000,23.600,25.200,27.900,25.400,14.000
290.000,24.000,26.000,29.200,30.400,15.400
272.000,25.000,27.000,30.600,28.000,15.600
390.000,29.500,31.700,35.000,27.100,15.300
6.700,9.300,9.800,10.800,16.100,9.700
7.500,10.000,10.500,11.600,17.000,10.000
7.000,10.100,10.600,11.600,14.900,9.900
9.700,10.400,11.000,12.000,18.300,11.500
9.800,10.700,11.200,12.400,16.800,10.300
8.700,10.800,11.300,12.600,15.700,10.200
10.000,11.300,11.800,13.100,16.900,9.800
9.900,11.300,11.800,13.100,16.900,8.900
9.800,11.400,12.000,13.200,16.700,8.700
12.200,11.500,12.200,13.400,15.600,10.400
13.400,11.700,12.400,13.500,18.000,9.400
12.200,12.100,13.000,13.800,16.500,9.100
19.700,13.200,14.300,15.200,18.900,13.600
19.900,13.800,15.000,16.200,18.100,11.600
200.000,30.000,32.300,34.800,16.000,9.700
300.000,31.700,34.000,37.800,15.100,11.000
300.000,32.700,35.000,38.800,15.300,11.300
300.000,34.800,37.300,39.800,15.800,10.100
430.000,35.500,38.000,40.500,18.000,11.300
345.000,36.000,38.500,41.000,15.600,9.700
456.000,40.000,42.500,45.500,16.000,9.500
510.000,40.000,42.500,45.500,15.000,9.800
540.000,40.100,43.000,45.800,17.000,11.200
500.000,42.000,45.000,48.000,14.500,10.200
567.000,43.200,46.000,48.700,16.000,10.000
770.000,44.800,48.000,51.200,15.000,10.500
950.000,48.300,51.700,55.100,16.200,11.200
1250.000,52.000,56.000,59.700,17.900,11.700
1600.000,56.000,60.000,64.000,15.000,9.600
1550.000,56.000,60.000,64.000,15.000,9.600
1650.000,59.000,63.400,68.000,15.900,11.000
